"filename", "language", "C", "C++", "comment", "blank", "total"
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/cache/cache_predictor.h", "C++", 0, -28, 0, -14, -42
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/constants.h", "C", -42, 0, -13, -25, -80
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/fileio.h", "C", -8, 0, 0, -6, -14
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/image.h", "C", -19, 0, -10, -10, -39
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/image_instance.h", "C", -5, 0, 0, -4, -9
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/math/linear_algebra.h", "C", -15, 0, 0, -12, -27
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/math/math_functions.h", "C", -27, 0, -4, -13, -44
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/predictor.h", "C", -22, 0, -51, -16, -89
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/predictor/local_differences.h", "C", -24, 0, 0, -11, -35
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/predictor/local_sum.h", "C", -8, 0, 0, -4, -12
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/predictor/quantizer.h", "C", -12, 0, -2, -8, -22
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/predictor/sample_representative.h", "C", -19, 0, 0, -12, -31
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/predictor/weights.h", "C", -16, 0, 0, -10, -26
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/testing/generate_image.h", "C", -9, 0, 0, -5, -14
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/cache_predictor.c", "C", 70, 0, 3, 14, 87
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/constants.c", "C", 20, 0, 0, 8, 28
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/fileio.c", "C", 29, 0, 0, 11, 40
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/generate_image.c", "C", 62, 0, 13, 22, 97
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/image.c", "C", 20, 0, 0, 4, 24
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/image_instance.c", "C", 1, 0, 0, 2, 3
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/linear_algebra.c", "C", 33, 0, 0, 9, 42
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/local_differences.c", "C", 89, 0, 0, 16, 105
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/local_sum.c", "C", 72, 0, 2, 8, 82
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/predictor.c", "C", 21, 0, 0, 6, 27
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/quantizer.c", "C", 50, 0, 0, 13, 63
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/sample_representative.c", "C", 50, 0, 11, 18, 79
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/weights.c", "C", 48, 0, 0, 10, 58
"Total", "-", 339, -28, -51, -9, 251
