"filename", "language", "C", "Python", "C++", "comment", "blank", "total"
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/Python/display_debugging.py", "Python", 0, 26, 0, 0, 16, 42
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/Python/prepare_hImage.py", "Python", 0, 100, 0, 10, 30, 140
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/cache/cache_predictor.h", "C++", 0, 0, 28, 0, 14, 42
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/constants.h", "C", 40, 0, 0, 13, 23, 76
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/fileio.h", "C", 8, 0, 0, 0, 6, 14
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/image_instance.h", "C", 5, 0, 0, 0, 4, 9
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/math/image.h", "C", 23, 0, 0, 10, 12, 45
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/math/linear_algebra.h", "C", 15, 0, 0, 0, 12, 27
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/math/math_functions.h", "C", 40, 0, 0, 5, 20, 65
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/predictor.h", "C", 22, 0, 0, 51, 16, 89
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/predictor/local_differences.h", "C", 24, 0, 0, 0, 11, 35
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/predictor/local_sum.h", "C", 8, 0, 0, 0, 4, 12
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/predictor/quantizer.h", "C", 12, 0, 0, 2, 8, 22
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/predictor/sample_representative.h", "C", 19, 0, 0, 0, 12, 31
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/predictor/weights.h", "C", 16, 0, 0, 0, 10, 26
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/testing/generate_image.h", "C", 9, 0, 0, 0, 5, 14
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/testing/synthetic_image_generator.h", "C", 14, 0, 0, 0, 11, 25
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/main.c", "C", 8, 0, 0, 0, 6, 14
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/generate_image.c", "C", -28, 0, 0, 5, -2, -25
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/math_functions.c", "C", 13, 0, 0, 0, 4, 17
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/src/synthetic_image_generator.c", "C", 209, 0, 0, 1, 44, 254
"Total", "-", 457, 126, 28, 97, 266, 974
