"filename", "language", "Markdown", "C", "Python", "C++", "comment", "blank", "total"
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/cache/cache_predictor.h", "C", 0, 28, 0, 0, 0, 14, 42
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/cache/image_instance.h", "C", 0, 5, 0, 0, 0, 4, 9
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/constants/constants.h", "C", 0, 45, 0, 0, 22, 29, 96
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/constants/encoder_constants.h", "C", 0, 20, 0, 0, 16, 20, 56
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/constants/global_constants.h", "C++", 0, 0, 0, 6, 0, 3, 9
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/dst/image.h", "C", 0, 23, 0, 0, 0, 12, 35
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/dst/table.h", "C++", 0, 0, 0, 3, 0, 4, 7
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/encoder/body.h", "C++", 0, 0, 0, 3, 0, 3, 6
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/encoder/encoder.h", "C", 0, 3, 0, 0, 0, 3, 6
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/encoder/encoder_helper_functions.h", "C++", 0, 0, 0, 17, 0, 6, 23
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/encoder/header.h", "C++", 0, 0, 0, 79, 3, 28, 110
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/files/csv-io.h", "C++", 0, 0, 0, 8, 0, 6, 14
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/math/linear_algebra.h", "C", 0, 15, 0, 0, 0, 12, 27
"/home/kevin/Kevin/Programming/C/CCSDS_Compression/CCSDS-Compression-C/include/math/math_functions.h", "C", 0, 40, 0, 0, 5, 20, 65
